id,name,aliases,country,birthDate,program,list,sanction_type,sanction_reason,remarks
d9afda24-19a9-48b2-8086-1753ac8a88b7,Наталия Şahin,Наталия Sahin; Наталия Şahin,Qatar,1972-08-14,EU CFSP,EU CFSP,Arms Embargo,Involved in proliferation activities,Subject owns assets in third countries.
b6c8547c-1346-4175-9781-85fb85749695,Yusuf Shevchenko,Yusuf Shevchenko,Azerbaijan,1988-04-06 | 1996-08-06,UN Consolidated,EU CFSP,Export Restrictions,Cyber operations against critical infrastructure,Subject owns assets in third countries.
51eb001d-0eeb-4c45-95c4-8f87e3139be1,Cedar Group,CedarGroup; Cedar Group; Cedar-Group,Iraq,,UN Consolidated,OFAC SDN,Travel Ban,Suspected terrorism financing,Operates in restricted sector per program rules.
a63aff31-71de-402e-a51d-758f281e20a0,Ayşe Hassan,Ayse Hassan; Ayşe Hassan,Ukraine,1995-07-23,UN Consolidated,OFAC SDN,Travel Ban,Suspected terrorism financing,Subject owns assets in third countries.
c3af798f-78a2-4b73-865d-019cdeaa3a78,Caspian Sarl,CaspianSarl; Caspian Sarl; Caspian-Sarl,Azerbaijan,,UK OFSI,OFAC SDN,Arms Embargo,Human rights violations,Potential evasion via third-country intermediaries.
32c2d4a5-3126-4957-ac27-119a9d81fdb9,Atlas BV,Atlas BV; Atlas-BV; AtlasBV,Kazakhstan,,Canada SEMA,EU CFSP,Travel Ban,Human rights violations,Ships and assets linked via maritime AIS data.
cda4ac32-ca65-4c7b-bef2-a361a86b4e9d,Zhao Ismayilov,Zhao Ismayilov,Kazakhstan,1963-02-17,EU CFSP,OFAC SDN,Asset Freeze,Suspected terrorism financing,Associated with front companies in multiple jurisdictions.
8f3bc523-bff7-4ea2-9e5e-be334c825862,Oleksandr Aydin,Aydin Oleksandr; Oleksandr Aydin,China,1959-11-09 | 1997-06-17,UK OFSI,UK OFSI,Sectoral Sanctions,Human rights violations,Subject owns assets in third countries.
5a00562f-ab15-447f-9c56-b661170f0dbe,Süleyman Abu Karim,Suleyman Abu Karim; Süleyman Abu Karim,Iran,1954 | 1956-04-09,OFAC SDN,UN Consolidated,Travel Ban,Involved in proliferation activities,Multiple transliterations reported.
51c62915-d1ed-4bde-9bfe-3955dfb3e9d3,Omid Zhang,Omid Zhang,Uzbekistan,1988-08-01,EU CFSP,OFAC SDN,Arms Embargo,Cyber operations against critical infrastructure,Multiple transliterations reported.
